country,job,param,aval,parameter
Netherlands,Senior Data Scientist,qr3,157.1,QR3
Netherlands,Software Engineer,qr3,141.4,QR3
Poland,Business Analyst,qr3,91.8,QR3
Poland,Cloud Engineer,qr3,91.8,QR3
Poland,Data Analyst,qr3,114.5,QR3
Poland,Data Engineer,qr3,151.9,QR3
Poland,Data Scientist,qr3,162.2,QR3
Poland,Machine Learning Engineer,qr3,145.2,QR3
Poland,Senior Data Analyst,qr3,114.5,QR3
Poland,Senior Data Engineer,qr3,151.9,QR3
Poland,Senior Data Scientist,qr3,162.2,QR3
Poland,Software Engineer,qr3,91.8,QR3
Portugal,Business Analyst,qr3,79.2,QR3
Portugal,Data Analyst,qr3,114.5,QR3
Portugal,Data Engineer,qr3,151.9,QR3
Portugal,Data Scientist,qr3,162.2,QR3
Portugal,Machine Learning Engineer,qr3,176,QR3
Portugal,Senior Data Analyst,qr3,114.5,QR3
Portugal,Senior Data Engineer,qr3,151.9,QR3
Portugal,Senior Data Scientist,qr3,158.2,QR3
Portugal,Software Engineer,qr3,161.2,QR3
Romania,Business Analyst,qr3,83.3,QR3
Romania,Cloud Engineer,qr3,58.4,QR3
Romania,Data Analyst,qr3,94.7,QR3
Romania,Data Engineer,qr3,129,QR3
Romania,Data Scientist,qr3,144.2,QR3
Romania,Machine Learning Engineer,qr3,171,QR3
Romania,Senior Data Analyst,qr3,136,QR3
Romania,Senior Data Engineer,qr3,136.9,QR3
Romania,Software Engineer,qr3,200.3,QR3
Spain,Business Analyst,qr3,161.2,QR3
Spain,Cloud Engineer,qr3,110.4,QR3
Spain,Data Analyst,qr3,114.5,QR3
Spain,Data Engineer,qr3,151.9,QR3
Spain,Data Scientist,qr3,98.2,QR3
Spain,Machine Learning Engineer,qr3,164,QR3
Spain,Senior Data Analyst,qr3,114.5,QR3
Spain,Senior Data Engineer,qr3,151.9,QR3
Spain,Senior Data Scientist,qr3,169,QR3
Spain,Software Engineer,qr3,149.2,QR3
Sweden,Business Analyst,qr3,91.8,QR3
Sweden,Data Analyst,qr3,114.5,QR3
Sweden,Data Engineer,qr3,151.9,QR3
Sweden,Data Scientist,qr3,162.2,QR3
Sweden,Machine Learning Engineer,qr3,158.1,QR3
Sweden,Senior Data Analyst,qr3,114.5,QR3
Sweden,Senior Data Engineer,qr3,151.9,QR3
Sweden,Senior Data Scientist,qr3,186.7,QR3
Sweden,Software Engineer,qr3,161.2,QR3
Belgium,Business Analyst,max,91.8,MAX
Belgium,Data Analyst,max,170,MAX
Belgium,Data Engineer,max,151.9,MAX
Belgium,Data Scientist,max,162.2,MAX
Belgium,Machine Learning Engineer,max,104.1,MAX
Belgium,Senior Data Engineer,max,91.8,MAX
Belgium,Senior Data Scientist,max,91.8,MAX
Belgium,Software Engineer,max,75.1,MAX
Denmark,Data Analyst,max,91.8,MAX
Denmark,Data Engineer,max,151.9,MAX
Denmark,Data Scientist,max,171.4,MAX
Denmark,Machine Learning Engineer,max,171,MAX
Denmark,Senior Data Engineer,max,151.9,MAX
Finland,Data Analyst,max,170,MAX
Finland,Data Engineer,max,101.3,MAX
Finland,Data Scientist,max,162.2,MAX
Finland,Machine Learning Engineer,max,191.1,MAX
Finland,Senior Data Analyst,max,114.5,MAX
Finland,Senior Data Engineer,max,108.2,MAX
Finland,Senior Data Scientist,max,162.2,MAX
Finland,Software Engineer,max,77.2,MAX
France,Business Analyst,max,114.5,MAX
France,Cloud Engineer,max,109.1,MAX
France,Data Analyst,max,206,MAX
France,Data Engineer,max,256.5,MAX
France,Data Scientist,max,171.4,MAX
France,Machine Learning Engineer,max,171,MAX
