country,paramcd,job,aval,avalu,srcdom,paramtyp
Ireland,MAX,Data Scientist,171412,USD,DATA JOBS,
Ireland,MEAN,Data Scientist,114941,USD,DATA JOBS,
Ireland,MEDIAN,Data Scientist,105111,USD,DATA JOBS,
Ireland,MIN,Data Scientist,55018,USD,DATA JOBS,
Ireland,STD,Data Scientist,45052,USD,DATA JOBS,
Ireland,MAX,Machine Learning Engineer,170980,USD,DATA JOBS,
Ireland,MEAN,Machine Learning Engineer,139441,USD,DATA JOBS,
Ireland,MEDIAN,Machine Learning Engineer,170980,USD,DATA JOBS,
Ireland,MIN,Machine Learning Engineer,75087,USD,DATA JOBS,
Ireland,STD,Machine Learning Engineer,44836,USD,DATA JOBS,
Ireland,MAX,Senior Data Analyst,200335,USD,DATA JOBS,
Ireland,MEAN,Senior Data Analyst,132368,USD,DATA JOBS,
Ireland,MEDIAN,Senior Data Analyst,121684,USD,DATA JOBS,
Ireland,MIN,Senior Data Analyst,75087,USD,DATA JOBS,
Ireland,STD,Senior Data Analyst,63303,USD,DATA JOBS,
Ireland,MAX,Senior Data Engineer,160680,USD,DATA JOBS,
Ireland,MEAN,Senior Data Engineer,143358,USD,DATA JOBS,
Ireland,MEDIAN,Senior Data Engineer,151925,USD,DATA JOBS,
Ireland,MIN,Senior Data Engineer,91773,USD,DATA JOBS,
Ireland,STD,Senior Data Engineer,25513,USD,DATA JOBS,
Ireland,MAX,Senior Data Scientist,171412,USD,DATA JOBS,
Ireland,MEAN,Senior Data Scientist,162848,USD,DATA JOBS,
Ireland,MEDIAN,Senior Data Scientist,166602,USD,DATA JOBS,
Ireland,MIN,Senior Data Scientist,146775,USD,DATA JOBS,
Ireland,STD,Senior Data Scientist,11521,USD,DATA JOBS,
Ireland,MAX,Software Engineer,91773,USD,DATA JOBS,
Ireland,MEAN,Software Engineer,91773,USD,DATA JOBS,
Ireland,MEDIAN,Software Engineer,91773,USD,DATA JOBS,
Ireland,MIN,Software Engineer,91773,USD,DATA JOBS,
Italy,MAX,Business Analyst,44496,USD,DATA JOBS,
Italy,MEAN,Business Analyst,44496,USD,DATA JOBS,
Italy,MEDIAN,Business Analyst,44496,USD,DATA JOBS,
Italy,MIN,Business Analyst,44496,USD,DATA JOBS,
Italy,MAX,Data Analyst,114510,USD,DATA JOBS,
Italy,MEAN,Data Analyst,76018,USD,DATA JOBS,
Italy,MEDIAN,Data Analyst,54604,USD,DATA JOBS,
Italy,MIN,Data Analyst,46350,USD,DATA JOBS,
Italy,STD,Data Analyst,27551,USD,DATA JOBS,
Italy,MAX,Data Engineer,158620,USD,DATA JOBS,
Italy,MEAN,Data Engineer,114987,USD,DATA JOBS,
Italy,MEDIAN,Data Engineer,100367,USD,DATA JOBS,
Italy,MIN,Data Engineer,91773,USD,DATA JOBS,
Italy,STD,Data Engineer,26174,USD,DATA JOBS,
Italy,MAX,Data Scientist,162225,USD,DATA JOBS,
Italy,MEAN,Data Scientist,99787,USD,DATA JOBS,
Italy,MEDIAN,Data Scientist,91272,USD,DATA JOBS,
Italy,MIN,Data Scientist,58401,USD,DATA JOBS,
Italy,STD,Data Scientist,38450,USD,DATA JOBS,
Italy,MAX,Machine Learning Engineer,107808,USD,DATA JOBS,
Italy,MEAN,Machine Learning Engineer,91556,USD,DATA JOBS,
Italy,MEDIAN,Machine Learning Engineer,91773,USD,DATA JOBS,
Italy,MIN,Machine Learning Engineer,75087,USD,DATA JOBS,
Italy,STD,Machine Learning Engineer,16361,USD,DATA JOBS,
Italy,MAX,Senior Data Analyst,114510,USD,DATA JOBS,
Italy,MEAN,Senior Data Analyst,106931,USD,DATA JOBS,
Italy,MEDIAN,Senior Data Analyst,114510,USD,DATA JOBS,
Italy,MIN,Senior Data Analyst,91773,USD,DATA JOBS,
Italy,STD,Senior Data Analyst,13127,USD,DATA JOBS,
Italy,MAX,Senior Data Scientist,108459,USD,DATA JOBS,
Italy,MEAN,Senior Data Scientist,85902,USD,DATA JOBS,
Italy,MEDIAN,Senior Data Scientist,75087,USD,DATA JOBS,
Italy,MIN,Senior Data Scientist,74160,USD,DATA JOBS,
Italy,STD,Senior Data Scientist,19540,USD,DATA JOBS,
Italy,MAX,Software Engineer,108819,USD,DATA JOBS,
Italy,MEAN,Software Engineer,96897,USD,DATA JOBS,
Italy,MEDIAN,Software Engineer,96897,USD,DATA JOBS,
Italy,MIN,Software Engineer,84975,USD,DATA JOBS,
Italy,STD,Software Engineer,16860,USD,DATA JOBS,
Netherlands,MAX,Business Analyst,108459,USD,DATA JOBS,
Netherlands,MEAN,Business Analyst,88374,USD,DATA JOBS,
Netherlands,MEDIAN,Business Analyst,91773,USD,DATA JOBS,
Netherlands,MIN,Business Analyst,64890,USD,DATA JOBS,
Netherlands,STD,Business Analyst,21982,USD,DATA JOBS,
Netherlands,MAX,Data Analyst,182601,USD,DATA JOBS,
Netherlands,MEAN,Data Analyst,101226,USD,DATA JOBS,
Netherlands,MEDIAN,Data Analyst,96667,USD,DATA JOBS,
Netherlands,MIN,Data Analyst,54604,USD,DATA JOBS,
Netherlands,STD,Data Analyst,34295,USD,DATA JOBS,
Netherlands,MAX,Data Engineer,180250,USD,DATA JOBS,
Netherlands,MEAN,Data Engineer,110828,USD,DATA JOBS,
Netherlands,MEDIAN,Data Engineer,100367,USD,DATA JOBS,
Netherlands,MIN,Data Engineer,91773,USD,DATA JOBS,
